iter	Passed	Remaining
0	6	12943
1	11	11944
2	17	11925
3	24	12013
4	30	12150
5	36	12175
6	42	12176
7	48	12198
8	54	12021
9	60	12080
10	67	12223
11	74	12362
12	81	12429
13	87	12465
14	93	12370
15	98	12202
16	103	12040
17	107	11816
18	111	11592
19	114	11384
20	118	11144
21	121	10955
22	125	10786
23	129	10624
24	132	10477
25	136	10337
26	140	10240
27	143	10136
28	147	10031
29	151	9937
30	154	9836
31	158	9749
32	161	9652
33	165	9569
34	169	9503
35	172	9434
36	176	9364
37	179	9289
38	183	9220
39	187	9166
40	190	9114
41	194	9072
42	198	9015
43	201	8959
44	205	8908
45	208	8864
46	212	8823
47	215	8778
48	219	8732
49	223	8698
50	226	8657
51	230	8618
52	233	8581
53	237	8547
54	240	8511
55	244	8480
56	247	8443
57	251	8412
58	254	8381
59	258	8358
60	262	8332
61	265	8304
62	269	8296
63	273	8267
64	276	8245
65	280	8218
66	283	8191
67	287	8169
68	291	8146
69	294	8125
70	298	8101
71	301	8078
72	305	8057
73	308	8034
74	312	8012
75	316	8018
76	320	8005
77	324	8004
78	328	7986
79	332	7970
80	335	7951
81	339	7939
82	342	7920
83	346	7901
84	350	7888
85	354	7880
86	357	7865
87	361	7846
88	364	7828
89	367	7807
90	371	7789
91	375	7778
92	378	7763
93	382	7749
94	385	7735
95	389	7726
96	393	7713
97	396	7698
98	400	7683
99	403	7666
100	406	7652
101	410	7637
102	413	7624
103	417	7613
104	421	7603
105	424	7590
106	428	7578
107	432	7568
108	435	7557
109	439	7546
110	443	7539
111	446	7531
112	450	7524
113	454	7517
114	457	7505
115	461	7492
116	464	7480
117	468	7470
118	471	7459
119	475	7447
120	478	7434
121	482	7425
122	485	7412
123	489	7399
124	492	7394
125	496	7386
126	500	7377
127	503	7366
128	507	7356
129	510	7347
130	514	7338
131	517	7330
132	521	7320
133	525	7321
134	529	7312
135	532	7304
136	536	7294
137	539	7284
138	543	7274
139	546	7266
140	550	7256
141	553	7246
142	557	7238
143	561	7232
144	564	7222
145	568	7218
146	575	7251
147	579	7248
148	583	7248
149	587	7250
150	592	7249
151	596	7248
152	599	7242
153	603	7237
154	607	7232
155	611	7227
156	615	7219
157	618	7211
158	622	7201
159	625	7195
160	629	7189
161	633	7183
162	637	7179
163	641	7183
164	645	7183
165	649	7178
166	653	7173
167	657	7169
168	662	7174
169	666	7170
170	673	7206
171	677	7198
172	680	7190
173	684	7182
174	687	7173
175	691	7165
176	695	7158
177	698	7149
178	702	7142
179	705	7136
180	709	7128
181	714	7135
182	718	7128
183	722	7128
184	726	7128
185	730	7125
186	734	7116
187	737	7108
188	740	7099
189	744	7089
190	747	7081
191	751	7073
192	754	7067
193	758	7065
194	762	7058
195	766	7052
196	770	7047
197	773	7043
198	777	7038
199	781	7034
200	785	7031
201	789	7030
202	794	7030
203	798	7031
204	802	7030
205	807	7028
206	811	7025
207	814	7020
208	818	7016
209	822	7009
210	825	7001
211	829	6995
212	833	6990
213	836	6984
214	840	6977
215	843	6970
216	847	6964
217	851	6958
218	854	6951
219	858	6945
220	862	6940
221	865	6935
222	869	6929
223	873	6922
224	876	6915
225	880	6909
226	884	6905
227	887	6897
228	891	6894
229	895	6887
230	898	6880
231	901	6873
232	905	6866
233	909	6862
234	912	6857
235	916	6850
236	920	6844
237	923	6837
238	927	6830
239	930	6824
240	934	6818
241	937	6810
242	940	6803
243	944	6798
244	948	6791
245	951	6786
246	955	6781
247	959	6777
248	962	6771
249	966	6766
250	970	6761
251	973	6754
252	977	6749
253	980	6742
254	984	6736
255	988	6730
256	991	6725
257	995	6719
258	998	6713
259	1002	6707
260	1005	6700
261	1009	6694
262	1012	6688
263	1016	6684
264	1020	6684
265	1024	6680
266	1028	6677
267	1032	6671
268	1036	6668
269	1039	6663
270	1043	6658
271	1047	6652
272	1050	6646
273	1054	6640
274	1057	6634
275	1061	6627
276	1064	6622
277	1068	6616
278	1071	6612
279	1075	6608
280	1079	6603
281	1082	6597
282	1086	6592
283	1090	6586
284	1093	6580
285	1097	6574
286	1100	6569
287	1104	6564
288	1107	6558
289	1111	6552
290	1114	6546
291	1118	6539
292	1121	6535
293	1125	6529
294	1128	6523
295	1132	6516
296	1135	6512
297	1139	6506
298	1142	6501
299	1146	6496
300	1150	6492
301	1153	6486
302	1156	6479
303	1160	6474
304	1164	6469
305	1167	6465
306	1171	6459
307	1174	6453
308	1178	6447
309	1181	6440
310	1185	6437
311	1188	6432
312	1192	6427
313	1196	6423
314	1200	6422
315	1204	6416
316	1207	6411
317	1211	6406
318	1215	6403
319	1219	6403
320	1224	6406
321	1230	6410
322	1235	6417
323	1241	6423
324	1248	6434
325	1255	6444
326	1261	6454
327	1267	6462
328	1273	6466
329	1279	6475
330	1285	6480
331	1291	6486
332	1296	6491
333	1302	6497
334	1308	6502
335	1314	6508
336	1319	6509
337	1323	6509
338	1328	6507
339	1333	6509
340	1337	6506
341	1341	6501
342	1344	6496
343	1348	6490
344	1351	6485
345	1355	6478
346	1358	6472
347	1362	6466
348	1365	6459
349	1369	6454
350	1372	6448
351	1376	6442
352	1379	6436
353	1382	6430
354	1386	6425
355	1390	6420
356	1393	6414
357	1397	6408
358	1400	6402
359	1404	6396
360	1407	6391
361	1411	6385
362	1414	6379
363	1418	6373
364	1421	6368
365	1425	6362
366	1428	6356
367	1432	6351
368	1435	6345
369	1438	6339
370	1442	6333
371	1445	6327
372	1449	6321
373	1452	6316
374	1456	6312
375	1460	6306
376	1463	6301
377	1467	6295
378	1470	6289
379	1473	6283
380	1477	6278
381	1480	6272
382	1484	6266
383	1487	6260
384	1491	6255
385	1494	6248
386	1497	6242
387	1501	6236
388	1504	6232
389	1508	6228
390	1513	6227
391	1517	6224
392	1521	6220
393	1524	6214
394	1528	6210
395	1531	6204
396	1535	6199
397	1538	6193
398	1542	6189
399	1545	6183
400	1549	6180
401	1553	6175
402	1557	6171
403	1561	6167
404	1564	6161
405	1567	6155
406	1571	6150
407	1574	6144
408	1578	6138
409	1581	6132
410	1584	6127
411	1588	6121
412	1591	6115
413	1595	6110
414	1598	6105
415	1601	6099
416	1606	6096
417	1610	6093
418	1613	6089
419	1617	6085
420	1621	6081
421	1625	6077
422	1629	6075
423	1633	6073
424	1638	6070
425	1642	6067
426	1646	6065
427	1651	6065
428	1655	6063
429	1660	6062
430	1665	6062
431	1669	6059
432	1673	6055
433	1676	6050
434	1680	6046
435	1684	6041
436	1687	6036
437	1691	6032
438	1695	6028
439	1699	6025
440	1703	6020
441	1707	6017
442	1710	6013
443	1714	6008
444	1718	6003
445	1721	5999
446	1725	5994
447	1728	5989
448	1732	5983
449	1735	5978
450	1739	5973
451	1742	5969
452	1746	5964
453	1750	5959
454	1753	5955
455	1757	5950
456	1760	5945
457	1764	5940
458	1768	5935
459	1771	5931
460	1775	5926
461	1778	5920
462	1782	5915
463	1785	5910
464	1792	5915
465	1795	5911
466	1799	5906
467	1802	5900
468	1806	5895
469	1809	5890
470	1813	5885
471	1816	5880
472	1820	5875
473	1823	5870
474	1827	5866
475	1831	5862
476	1834	5857
477	1837	5852
478	1841	5847
479	1845	5842
480	1848	5838
481	1852	5832
482	1855	5827
483	1858	5822
484	1862	5817
485	1866	5813
486	1869	5807
487	1872	5802
488	1876	5798
489	1880	5794
490	1884	5790
491	1887	5785
492	1891	5781
493	1895	5777
494	1899	5773
495	1902	5769
496	1906	5765
497	1909	5760
498	1913	5755
499	1917	5751
500	1920	5746
501	1924	5742
502	1928	5738
503	1932	5736
504	1937	5734
505	1941	5731
506	1945	5729
507	1950	5728
508	1954	5725
509	1958	5722
510	1962	5718
511	1966	5714
512	1969	5709
513	1973	5704
514	1976	5699
515	1980	5695
516	1984	5692
517	1987	5686
518	1991	5682
519	1994	5677
520	1998	5673
521	2002	5669
522	2006	5666
523	2010	5662
524	2014	5660
525	2018	5656
526	2022	5652
527	2025	5647
528	2029	5642
529	2033	5638
530	2036	5634
531	2040	5630
532	2044	5626
533	2047	5621
534	2051	5617
535	2055	5613
536	2059	5610
537	2063	5606
538	2067	5603
539	2071	5600
540	2075	5598
541	2079	5595
542	2083	5590
543	2087	5586
544	2090	5582
545	2094	5577
546	2098	5573
547	2101	5568
548	2105	5564
549	2108	5559
550	2112	5554
551	2115	5550
552	2119	5545
553	2122	5540
554	2126	5536
555	2129	5531
556	2133	5526
557	2136	5522
558	2140	5517
559	2144	5513
560	2147	5508
561	2150	5503
562	2154	5499
563	2158	5494
564	2161	5489
565	2164	5485
566	2168	5480
567	2172	5476
568	2175	5471
569	2178	5466
570	2182	5461
571	2185	5457
572	2189	5452
573	2193	5448
574	2197	5445
575	2201	5441
576	2204	5436
577	2208	5433
578	2211	5428
579	2215	5423
580	2218	5419
581	2222	5415
582	2225	5410
583	2229	5405
584	2233	5401
585	2236	5397
586	2240	5393
587	2243	5388
588	2247	5383
589	2250	5379
590	2255	5376
591	2259	5373
592	2264	5371
593	2268	5369
594	2273	5369
595	2278	5367
596	2282	5364
597	2286	5361
598	2290	5357
599	2294	5353
600	2298	5350
601	2302	5346
602	2305	5342
603	2310	5339
